CR004085762,WPC2,SME_WPC2_003,004873467X,MS14121,,MS_Infrastructure,BMICH Sound,SME Solution,DATA,"309,600.00",
CR004439127,WPSW,SME_WPSW_001,48980883,MS15004,,ICT Device Charges, ICT Device ,SME Solution,DATA," 48,300 ",
CR004413812,WPS,SME_WPS_001,48585243,  MS13809,,,Infrastructure,SME Solution,DATA," 924,588.50 "," 40,199.50 "
CR004443789,CPN,SME_CPN_001,0049050430,PABX MS14459,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,Data," 366,345.00 "," 29,075.00 "
CR004413320,CPN,SME_CPN_002,0048577309,ICT MS13747,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 751,611.25 "," 32,678.75 "
CR004426085,CPN,SME_CPN_002,0048780937,ICT MS14204,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 909,546.50 "," 39,545.50 "
CR004437562,CPN,SME_CPN_002,0048958234,ICT MS14367,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 844,634.75 "," 36,723.25 "
CR004437574,CPN,SME_CPN_002,0048958413,ICT MS14368,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 814,861.25 "," 35,428.75 "
CR004475216,CPN,SME_CPN_004,0049525314,ICT Infrastructure Solution MS14401,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 833,405.00 "," 36,235.00 "
CR004431530,CPN,SME_CPN_005,0048865566,ICT Infrastructure MS14295,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 876,415.00 "," 38,105.00 "
CR004458102,CPN,SME_CPN_005,0049440340,Telephone Units MS14689,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,Data," 68,040.00 "," 5,400.00 "
CR004249472,CPS,SME_CPS_001,0049506590,AMC MS14668,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,Data," 308,196.00 ",
CR004449835,CPS,SME_CPS_001,0049139629,PABX MS13957,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 555,156.00 "," 44,060.00 "
CR004359029,CPS,SME_CPS_003,004779091X,PBAX MS12901,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 672,032.00 "," 63,512.00 "
CR004428188,EP,SME_EPN_001,0048813396,SMEDS_2897A_2021 MS14234,2352,MS_Solution Implementation,Infrastructure Initial,SME Solution,DATA," 923,024.50 "," 40,131.50 "
CR003636023,NCP,SME_NCP_001,0045408065,PABX/0371/2020/R/SLT/WJ/RGN MS14750,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 30,158.05 ",
CR004388470,NCP,SME_NCP_001,0048220931,SMEDS_2455_2021 MS13328,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 133,400.00 "," 8,258.90 "
CR004430096,NCP,SME_NCP_001,0048842580,SMEDS_2981_2021 MS14271,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 533,736.00 "," 42,360.00 "
CR004439240,NCP,SME_NCP_001,0048982678,SMEDS_2568_2021 MS14387,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 850,540.00 "," 36,980.00 "
CR004229359,NCP,SME_NCP_002,0049357019,PABX/0099/2022/OTH/SCE/CH MS14655,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 126,100.00 ",
CR004418266,NCP,SME_NCP_002,0048927399,SMEDS_2507_2021 MS14344,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 830,133.25 "," 36,092.75 "
CR004471357,NCP,SME_NCP_002,0049462884,SMEDS/PABX/0109/2022/NEW/SMRT/UD MS14720,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 320,768.00 "," 25,060.00 "
CR004441322,NP,SME_NP_001,0049013482,MS14378,,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 896,367.50 "," 38,972.50 "
CR004443415,NP,SME_NP_002,0049044759,MS13810,,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 881,843.00 ",
CR004441165,NP,SME_NP_003,0049010992,MS14372,,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 710,539.00 "," 30,893.00 "
CR004417936,NWPE,SME_NWPE_001,0048801943,SMEDS_2737A_2021 MS14109,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 920,448.50 "," 40,019.50 "
CR004417880,NWPE,SME_NWPE_002,0048775518,SMEDS_2575A_2021 MS14197,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 920,057.50 "," 40,002.50 "
CR004414278,NWPW,SME_NWPW_001,0048592984,SMEDS_2700_2021 MS13791,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 925,520.00 "," 40,240.00 "
CR004414844,NWPW,SME_NWPW_001,0048601664,SMEDS_2640A_2021 MS13821,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 914,836.50 "," 39,775.50 "
CR004418572,NWPW,SME_NWPW_001,0048661312,SMEDS_2778_2021 MS13906,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 925,140.50 "," 40,223.50 "
CR004418577,NWPW,SME_NWPW_001,0048661432,SMEDS_2708_2021 MS13931,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 924,899.00 "," 40,213.00 "
CR004418587,NWPW,SME_NWPW_001,0048661540,SMEDS_2709_2021 MS13940,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 874,747.50 ",
CR004418589,NWPW,SME_NWPW_001,0048661564,SMEDS_2707_2021 MS13941,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 893,964.00 "," 38,868.00 "
CR004429150,NWPW,SME_NWPW_001,0048828175,Supply and Installation of Wi -Fi networking solution MS14261,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 919,885.00 "," 39,995.00 "
CR004429197,NWPW,SME_NWPW_001,004882887X,Supply and Installation of Wi -Fi networking solution. MS14263,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 827,275.50 "," 35,968.50 "
CR004436693,NWPW,SME_NWPW_001,004894548X,Supply and Installation of Wi -Fi Solution [School Project-Phase II] MS14404,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 923,001.50 "," 40,130.50 "
CR004461526,NWPW,SME_NWPW_001,0049316946,Ref: SMEDS_0214_2022 MS14622,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,Data," 108,420.00 "," 8,340.00 "
CR004429985,NWPW,SME_NWPW_002,0048840818,Supply and Installation of Wi -Fi networking solution. MS14260,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 915,963.50 "," 39,824.50 "
CR004436679,NWPW,SME_NWPW_002,0048945299,Supply and Installation of Wi -Fi Solution [School Project-Phase II] MS14402,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 864,616.00 "," 72,572.00 "
CR004436687,NWPW,SME_NWPW_002,0048945383,Supply and Installation of Wi -Fi Solution [School Project-Phase II] MS14405,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 915,388.50 "," 39,799.50 "
CR000243623,SAB,SME_SAB_001,0043874574,PABX/0136/2022 MS14748,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 751,502.88 ",
CR004456083,SAB,SME_SAB_004,0049234092,PABX/0076/2022/OTH/SCE/CH MS14559,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 81,640.00 ",
CR002731122,SPE,SME_SPE_003,0048531672,MS13664,2866,MS_ICT Device Charges,Infrastructure Initial,SME Solution,DATA," 53,093.20 ",
CR004354943,SPE,SME_SPE_003,0048765635,SMEDS_1569_09_2021 MS14143,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 924,525.02 "," 40,196.74 "
CR004376433,SPE,SME_SPE_003,0048594958,SMEDS_1578_06_2021 MS13675,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 922,800.02 "," 38,515.74 "
CR004412243,SPE,SME_SPE_003,0048560186,MS13691,2866,MS_ICT Device Charges,Infrastructure Initial,SME Solution,DATA," 274,620.00 ",
CR004412257,SPE,SME_SPE_003,0048560341,MS13692,2866,MS_ICT Device Charges,Infrastructure Initial,SME Solution,DATA," 183,080.00 ",
CR004463306,SPE,SME_SPE_004,0049343557,SMEDS_091_2022 MS14660,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 1,540,860.00 "," 128,405.00 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Madampagama MS13719,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 273,052.01 "," 12,305.18 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Urugamuwa MS13714,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 642,630.52 "," 28,960.36 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Mawarala MS13713,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 625,534.75 "," 28,189.94 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Ranna MS13715,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 286,972.18 "," 12,932.49 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Akuressa MS13705,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 594,537.48 "," 26,793.04 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Habaraduwa MS13721,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 282,446.23 "," 12,728.53 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Hakuruwela MS13702,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 256,193.02 "," 11,545.42 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Tissa Kirinda MS13718,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 294,588.49 "," 13,275.74 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_PMCU Lankagama MS13724,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 163,468.59 "," 7,366.77 "
CR004450557,SPW,SME_SPW_003,0049150324,SMEDS_060PBX_2022 MS11974,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 409,062.50 "," 29,452.50 "
CR004416375,SPW,SME_SPW_004,0048626196,SMEDS_2200_2021 MS13862,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 584,010.00 "," 46,350.00 "
CR004414059,UVA,SME_UVA_001,0048609432,SMEDS_1351D_078_2021 MS13819,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 916,164.75 "," 39,833.25 "
CR004414063,UVA,SME_UVA_002,0048632618,SMEDS/1351D/002/2021 R1 MS14586,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 922,472.50 "," 40,107.50 "
CR004414067,UVA,SME_UVA_003,0048697534,SMEDS_1351D_075_2021 MS14050,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 921,322.50 "," 40,057.50 "
CR004442308,WPC2,SME_WPC2_001,0049028153,SMEDS_3052_2021 MS14433,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 971,175.00 "," 42,225.00 "
CR004355455,WPC2,SME_WPC2_003,004775450X,SMEDS_1167_2021 MS12890,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 1,308,938.00 "," 158,371.00 "
CR001029741,WPC2,SME_WPC2_005,0004454030,PABX/0064/2022/OTH/SLT/CH St. Josephs College Colombo 10 MS14519,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 474,529.36 ",
CR004419369,WPC2,SME_WPC2_005,0048673961,Colombo Central Hindu Maha Vidyalaya MS13976,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 130,829.33 "," 5,688.23 "
