2023-04-04 09:14:46,782-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-04 09:14:57,069-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-04 09:38:03,076-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-04 09:59:41,272-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-04 10:28:58,335-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-04 11:28:19,933-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-05 06:12:00,157-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-08 08:29:43,648-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '0253123001', 'offeringList': [{'offeringId': '1622533232', 'purchaseSeq': 'null'}]}
2023-04-11 10:50:43,852-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 10:51:42,993-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 10:52:06,784-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 10:52:55,693-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 10:59:55,953-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 11:05:44,103-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 11:05:57,213-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 11:06:17,391-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 11:06:46,436-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-11 11:07:16,207-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
